label,Message,clean_Message
1,TSELpoin 777 kejutan POIN Hadiah Rp.15jt Resmi diberikan 0852212XXXXX PIN-b7Bc247 u/info Hub/CS; PT.TELKOMSEL 021-40467488 021-50219992 Pengirim; +777,tselpoin kejut poin hadiah rpjt resmi xxxxx pinbbc uinfo hubcs pttelkomsel kirim
1,"Anda telah dipilih untuk menginap di 1 dari 250 hotel top Inggris - FOR LESS! Liburan senilai Â £ 350! Tekan 08712300220 untuk mengklaim - National Rate Call. Bx526, SW73SS",pilih inap hotel top inggris less libur nila tekan klaim national rate telepon bx swss
0,Itu tidak apa-apa. Aku muncul untuk menanyakan sesuatu dan dia bilang kau sudah masuk. Apakah Anda di sekitar tonght wen gadis ini datang?,apaapa muncul bilang kau masuk tonght wen gadis
0,Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow,tomorrow go theatr come wherev call tell come tomorrow
1,"FREE RING TONE just text ""POLYS"" to 87131. Then every week get a new tone. 0870737910216yrs only £1.50/wk.",free ring tone text poli everi week get new tone yr wk
0,Whats the staff name who is taking class for us?,what staff name take class us
0,Ok c ü then.,ok c ü
0,Setting ponsel akan segera dikirimkan. Masukkan PIN: 1111 jika diminta. Terimakasih,setting ponsel kirim masuk pin terimakasih
0,O. Well uv causes mutations. Sunscreen is like essential thesedays,well uv caus mutat sunscreen like essenti theseday
0,Dr ciateul terus masa kekalapa lg (frown),ciateul kekalapa frown
1,Informasi penting 4 pengguna oranye . Hari ini adalah hari keberuntungan Anda!2Cari tahu mengapa masuk ke http://www.urawinner.com ADA KEJUTAN FANTASTIS YANG MENANTI ANDA!,informasi guna oranye untung andacari masuk kejut fantastis
0,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago",thank much skype wit kz sura didnt get pleasur compani hope good weve given ultimatum oh countin aburo enjoy messag sent day ago
0,"iya, makanya aku butuh data kalian teh soalnya datanya dari sana. tapi harus ada RJ atau RD.",iya butuh data teh data rj rd
1,pesan resmi DARI PT.PLANET 3CARD anda mendapatkan hadiah CEK TUNAI Senilai Rp.100jt jatuh ke pemenang (3) kode PIN:bg58757 silahkan CEK di: www.planet-3care2016.blogspot.com.,pesan resmi ptplanet card hadiah cek tunai nila rpjt jatuh menang kode pinbg silah cek
0,"I feel like a dick because I keep sleeping through your texts and facebook messages. Sup, you in town?",feel like dick keep sleep text facebook messag sup town
1,SELAMAT anda pemenang undian POP-MIE mendapatkan hadiah 1unit MOBIL NISSAN JUKE pin anda;b89c7h9 untuk info KLIK SITUS KAMI DI; www.info-undian-pop-mie.webs.com,selamat menang undi popmie hadiah unit mobil nissan juke pin andabch informasi klik situs
