label,Message,clean_Message
0,"Oh... Icic... K lor, den bertemu tempo hari ...",oh icic k lor den temu tempo
1,4mths setengah harga sewa garis oranye & ponsel kamera terbaru 4 GRATIS. Apakah ponsel Anda 11mths +? Hubungi MobilesDirect gratis di 08000938767 untuk memperbarui sekarang! atau2stoptxt S&K,mths harga sewa garis oranye ponsel kamera baru gratis ponsel mths hubung mobilesdirect gratis baru ataustoptxt sk
0,Ubah lagi... Ini e satu di sebelah eskalator ...,ubah e belah eskalator
1,MENDESAK! Nomor Ponsel Anda telah dianugerahi hadiah <UKP>2000 DIJAMIN. Hubungi 09061790125 dari telepon rumah. Klaim 3030. Hanya berlaku 12 jam 150ppm,desak nomor ponsel anugerah hadiah ukp jamin hubung telepon rumah klaim laku jam ppm
0,Have you been practising your curtsey?,practis curtsey
1,Apakah Anda ingin ponsel warna Nokia 3510i Baru DeliveredTomorrow? Dengan 300 menit gratis ke ponsel apa pun + 100 teks gratis + Balasan Camcorder Gratis atau hubungi 08000930705.,ponsel warna nokia i deliveredtomorrow menit gratis ponsel teks gratis balas camcorder gratis hubung
1,SMS. ac Sptv: The New Jersey Devils dan Detroit Red Wings bermain Ice Hockey. Benar atau salah? Ujung? membalas AKHIRI SPTV,sms ac sptv the new jersey devils detroit red wings main ice hockey salah ujung balas sptv
0,You want to go? ,want go
1,"Anda telah dipilih untuk menginap di 1 dari 250 hotel terbaik di Inggris - FOR LESS! Liburan senilai â £ 350! Untuk mengklaim, hubungi London 02072069400. Bx 526, SW73SS",pilih inap hotel baik inggris less libur nila klaim hubung london bx swss
1,MENDESAK! Kami mencoba menghubungi Anda. Undian akhir pekan lalu menunjukkan bahwa Anda telah memenangkan hadiah Â £ 900 DIJAMIN. Hubungi 09061701851. Kode klaim K61. Hanya berlaku 12 jam,desak coba hubung undi pekan menang hadiah jamin hubung kode klaim k laku jam
0,All day working day:)except saturday and sunday..,day work dayexcept saturday sunday
1,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm,guarante cash prize claim yr prize call custom servic repres ampm
0,I am going to film 2day da. At 6pm. Sorry da.,go film day da pm sorri da
1,You are a winner you have been specially selected to receive £1000 cash or a £2000 award. Speak to a live operator to claim call 087123002209am-7pm. Cost 10p,winner special select receiv cash award speak live oper claim call ampm cost p
0,"Ffffffffff. Baiklah, tidak mungkin aku bisa bertemu denganmu lebih cepat?",ffffffffff baik temu dengan cepat
0,Lagian pasti ga boleh gera sma si kaka tp kalo dianterin aku ga enak,gera sma si kaka dianterin enak
0,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",hi frnd best way avoid missunderstd wit belov one
0,Love that holiday Monday feeling even if I have to go to the dentists in an hour,love holiday monday feel even go dentist hour
1,Tunjukkan warna Anda! Euro 2004 2-4-1 Penawaran! Dapatkan Bendera Inggris &; nada 3Lions di ponsel Anda! Klik pada pesan layanan berikut untuk info!,tunjuk warna euro tawar dapat bendera inggris nada lions ponsel klik pesan layan informasi
0,Not directly behind... Abt 4 rows behind ü...,directli behind abt row behind ü
1,ayah isikan pulsa xl 50rb di no 0818643929 sekarang penting,ayah isi pulsa xl rb nomor
1,Anda memiliki Pengagum Rahasia yang mencari 2 melakukan kontak dengan U-cari tahu siapa mereka R * mengungkapkan siapa yang berpikir UR begitu istimewa-hubungi di 09065171142-stopsms-08718727870150ppm,milik kagum rahasia cari kontak ucari r pikir ur istimewahubungi stopsmsppm
1,Ringtone Club: Gr8 new polys direct to your mobile every week !,rington club gr new poli direct mobil everi week
1,Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 08000930705,want new nokia colour phone deliv tomorrow free minut mobil free text free camcord repli call
0,"Rose needs water, season needs change, poet needs imagination..My phone needs ur sms and i need ur lovely frndship forever....",rose need water season need chang poet need imaginationmi phone need sm need love frndship forev
1,Mendesak! Hubungi 09066612661 dari telepon rumah. Pelengkap Anda 4 * Tenerife Holiday atau Â £ 10.000 uang tunai menunggu koleksi SAE T & C PO Box 3 WA14 2PX 150ppm 18 + Pengirim: Hol Penawaran,desak hubung telepon rumah lengkap tenerife holiday uang tunai tunggu koleksi sae t c po box wa px ppm kirim hol tawar
0,Ok good then i later come find ü... C lucky i told ü to go earlier... Later pple take finish ü no more again...,ok good later come find ü c lucki told ü go earlier later pple take finish ü
